"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
bipolar,subjectparticipant_eligible_studies,,radio,"Bipolar Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
bpd,subjectparticipant_eligible_studies,,radio,"Borderline Personality Disorder (BPD)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
depression,subjectparticipant_eligible_studies,,radio,"Depression or Major Depressive Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
ed,subjectparticipant_eligible_studies,,radio,"Eating Disorder (ED)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
insomnia,subjectparticipant_eligible_studies,,radio,"Insomnia / sleep disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
ocd,subjectparticipant_eligible_studies,,radio,"Obsessive-Compulsive Disorder (OCD)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
panic,subjectparticipant_eligible_studies,,radio,"Panic Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
ptsd,subjectparticipant_eligible_studies,,radio,"Post-Traumatic Stress Disorder (PTSD)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
schizophrenia,subjectparticipant_eligible_studies,,radio,Schizophrenia,"0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
soc_anx_dis,subjectparticipant_eligible_studies,,radio,"Social Anxiety Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
other_psych,subjectparticipant_eligible_studies,,radio,"Other psychiatric disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
asthma,subjectparticipant_eligible_studies,"Respiratory disorders",radio,Asthma,"0, Unchecked | 1, Checked",,,,,,,y,,,resp_dis,,
airway_stenosis,subjectparticipant_eligible_studies,,radio,"Airway stenosis (for example: subglottic stenosis; laryngeal stenosis)","0, Unchecked | 1, Checked",,,,,,,y,,,resp_dis,,
chronic_cough,subjectparticipant_eligible_studies,,radio,"Chronic Cough","0, Unchecked | 1, Checked",,,,,,,y,,,resp_dis,,
copd,subjectparticipant_eligible_studies,,radio,COPD,"0, Unchecked | 1, Checked",,,,,,,y,,,resp_dis,,
osa,subjectparticipant_eligible_studies,,radio,"Obstructive Sleep Apnea (OSA)","0, Unchecked | 1, Checked",,,,,,,y,,,resp_dis,,
autism,subjectparticipant_eligible_studies,"Pediatric disorders
",radio,"Autism Spectrum Disorder (ASD)","0, Unchecked | 1, Checked",,,,,,,y,,,peds_dis,,
speech_delay,subjectparticipant_eligible_studies,,radio,"Speech Delay","0, Unchecked | 1, Checked",,,,,,,y,,,peds_dis,,
ef_select_language,enrollment_form,"Select a language",radio,"Select a language","1, English | 2, Español | 3, Français",,,,,,,y,,,,,
ef_any_vision_related_req,enrollment_form,"Let's customize your experience",yesno,"This application requires you to read text to answer questions. Do you have any vision-related requirements we can assist with?",,,,,,,,y,,,,,
ef_vision_a11y_options,enrollment_form,,checkbox,"Yes, I would like to use some of the accessibility features of the app","1, I would like to change the font size | 2, I would like to change the font color (high contrast mode) | 3, I would like to use a screen reader | 4, I would like a person to read the text to me",,,,,,"[ef_any_vision_related_req] = '1'",,,,,,
ef_any_hearing_related_req,enrollment_form,,yesno,"This application may present some sound files for you to listen to. Do you have any hearing-related requirements we can assist with?",,,,,,,,y,,,,,
ef_hearing_a11y_options,enrollment_form,,checkbox,"Yes, I would like to use some of the accessibility features of the app","1, I would like to turn up the volume | 2, I would like to turn on closed captions | 3, I would like to use haptic feedback (vibrations) instead of audio cues",,,,,,"[ef_any_hearing_related_req] = '1'",,,,,,
ef_any_physical_challenges,enrollment_form,,yesno,"This application requires you to navigate through the questions using a touch screen. Do you have any physical challenges we can accomodate?",,,,,,,,y,,,,,
ef_physical_a11y_options,enrollment_form,,checkbox,"Yes, I would like to use some of the accessibility features of the app","1, I would like to increase the size of the buttons | 2, I have an alternative keyboard I'd like to connect instead | 3, I would like to navigate the survey using voice commands instead of the touch screen",,,,,,"[ef_any_physical_challenges] = '1'",,,,,,
ef_any_cognitive_challeges,enrollment_form,,yesno,"This application requires you to read text, answer questions, and follow directions. Do you have any cognitive challenges, including difficulty reading, that we can assist with?",,,,,,,,y,,,,,
ef_cognitive_a11y_options,enrollment_form,,checkbox,"Yes, I would like to use some of the accessibility features of the app","1, I would like the questions to be read to me using text-to-speech | 2, I would like a person to read the text to me | 3, I would like to speak my answers instead of typing them",,,,,,"[ef_any_cognitive_challeges] = '1'",,,,,,
ef_completed_by,enrollment_form,"Who is participating in completing this survey?",checkbox,"Check all that apply","1, Self | 2, Assistant | 3, Parent/Caregiver",,,,,,,,,,,,
ef_primary_language,enrollment_form,"Tell us about yourself",radio,"What is your primary language?","1, English | 2, French | 3, Spanish | 4, Other (Please specify below)",,,,,,,y,,,,,
ef_primary_language_other,enrollment_form,,text,"If primary language is ""other"", please specify:",,,,,,,"[ef_primary_language] = '4'",,,,,,
ef_fluent_languages,enrollment_form,,checkbox,"Do you speak any additional language(s) fluently (similar to a native speaker)?
","1, None | 2, English | 3, French | 4, Spanish | 5, Other (please specify below)",,,,,,,y,,,,,
ef_fluent_language_other,enrollment_form,,text,"If you speak any other languages fluently, please specify:",,,,,,,"[ef_fluent_languages(5)] = '1'",,,,,,
ef_dob,enrollment_form,,text,"What is your date of birth?",,,date_ymd,,,y,,y,,,,,
ef_laryng_cancer,enrollment_form,"<div class=""rich-text-field-label""><p>Do you have any of these conditions, diagnosed by a clinician?
(Check all that apply if you currently have the condition)</p></div>

Voice Disorders",radio,"Laryngeal cancer","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_benign_cord_lesion,enrollment_form,,radio,"Lesions of the vocal cord (nodule, polyp, cyst)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_rrp,enrollment_form,,radio,"Recurrent laryngeal papilloma (RRP)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_spas_dys,enrollment_form,,radio,"Spasmodic dysphonia / Laryngeal Tremor","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_voc_fold_paralysis,enrollment_form,,radio,"Vocal fold paralysis","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_alz_dementia_mci,enrollment_form,"Neurological and Neurodegenerative Disorders",radio,"Alzheimer's, dementia, or mild cognitive impairment","0, Unchecked | 1, Checked",,,,,,,y,,,ef_neuro_neurodeg_dis,,
ef_als,enrollment_form,,radio,"Amyotrophic Lateral Sclerosis (ALS)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_neuro_neurodeg_dis,,
ef_parkinsons,enrollment_form,,radio,"Parkinson's disease","0, Unchecked | 1, Checked",,,,,,,y,,,ef_neuro_neurodeg_dis,,
ef_alcohol_subst_abuse,enrollment_form,"Mood and Psychiatric Disorders",radio,"Alcohol or Substance Use Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_gad,enrollment_form,,radio,"Anxiety disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_add_adhd,enrollment_form,,radio,"Attention-Deficit / Hyperactivity Disorder (ADHD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_asd,enrollment_form,,radio,"Autism Spectrum Disorder (ASD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_bipolar,enrollment_form,,radio,"Bipolar Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_bpd,enrollment_form,,radio,"Borderline Personality Disorder (BPD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_depression,enrollment_form,,radio,"Depression or Major Depressive Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_ed,enrollment_form,,radio,"Eating Disorder (ED)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_insomnia,enrollment_form,,radio,"Insomnia / sleep disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_ocd,enrollment_form,,radio,"Obsessive-Compulsive Disorder (OCD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_panic,enrollment_form,,radio,"Panic Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_ptsd,enrollment_form,,radio,"Post-Traumatic Stress Disorder (PTSD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_schizophrenia,enrollment_form,,radio,Schizophrenia,"0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_soc_anx_dis,enrollment_form,,radio,"Social Anxiety Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_other_psych,enrollment_form,,radio,"Other psychiatric disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_asthma,enrollment_form,"Respiratory disorders",radio,Asthma,"0, Unchecked | 1, Checked",,,,,,,y,,,ef_resp_dis,,
ef_airway_stenosis,enrollment_form,,radio,"Airway stenosis (for example: subglottic stenosis; laryngeal stenosis)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_resp_dis,,
ef_chronic_cough,enrollment_form,,radio,"Chronic Cough","0, Unchecked | 1, Checked",,,,,,,y,,,ef_resp_dis,,
ef_copd,enrollment_form,,radio,COPD,"0, Unchecked | 1, Checked",,,,,,,y,,,ef_resp_dis,,
ef_osa,enrollment_form,,radio,"Obstructive Sleep Apnea (OSA)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_resp_dis,,
ef_autism,enrollment_form,"Pediatric disorders",radio,"Autism Spectrum Disorder (ASD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_peds_dis,,
ef_speech_delay,enrollment_form,,radio,"Speech Delay","0, Unchecked | 1, Checked",,,,,,,y,,,ef_peds_dis,,
ef_eligible_studies,enrollment_form,"Eligible Studies",checkbox,"Eligible Studies","1, Voice Disorders | 2, Neurological and Neurodegenerative Disorders | 3, Mood and Psychiatric Disorders | 4, Respiratory Disorders | 5, Pediatric Disorders",,,,,,,y,,,,,
ef_first_name,enrollment_form,"Contact Information",text,"First Name",,,,,,y,,y,,,,,
ef_last_name,enrollment_form,,text,"Last Name",,,,,,y,,y,,,,,
ef_phone_number,enrollment_form,,text,"Phone Number",,###-###-####,phone,,,y,,,,,,,
ef_email,enrollment_form,,text,Email,,,email,,,y,,y,,,,,
ef_contact_info_stored,enrollment_form,,yesno,"I want my contact information to be kept in a repository for this study which can be used to contact me to ask me to enroll in further studies or return important results. 

My information will not be shared with third parties.",,,,,,,,y,,,,,
ef_enrollment,enrollment_form,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">Review and Enroll:</span></p></div>",radio,"<div class=""rich-text-field-label""><p>Please review your answers reading all the way through the bottom and select an option. <br /><br /><em>If you have any questions, you can still proceed with enrollment and ask or make changes at a later time.</em></p></div>","Enroll, Enroll | Decline, Decline",,,,,,,y,,,,,
ef_reason_decline_enroll,enrollment_form,,radio,"Please select a reason for declining","1, I am not interested in having my voice recorded | 2, I do not have enough time today and want to be contacted later | 3, I do not have enough time and do not want to be contacted later | 4, I prefer not to share any health information for research | 5, Other (Please specify)",,,,,,"[ef_enrollment]=""Decline""",y,,,,,
ef_other_reason_decline,enrollment_form,,text,"If ""Other"" reason for declining enrollment, please specify:",,,,,,,"[ef_reason_decline_enroll]=""5""",,,,,,
ef_enrollment_institution,enrollment_form,,radio,"Enrollment Institution","bch, BCH | mit, MIT | mt_sinai, Mt. Sinai | usf, USF | vumc, VUMC | wcm, WCM",,,,,,,,,,,,
ef_researcher_email,enrollment_form,,text,"Researcher Email",,,email,,,,,,,,,,
ef_started_at,enrollment_form,"Enrollment Form - Metadata",text,"Enrollment Form Started At",,,,,,,,,,,,," @READONLY"
ef_completed_at,enrollment_form,,text,"Enrollment Form Completed At",,,,,,,,,,,,," @READONLY"
ef_duration,enrollment_form,,text,"Enrollment Form Duration (seconds)",,,number,0,,,,,,,,," @READONLY"
paper_consent_notes,bridge2ai_paper_consent_all_sites_english,"Paper Consent Form for all Sites",descriptive,"Fill out Instructions
1. Upload the .pdf of the paper consent.
2. Select the Enrollment Institution.
3. Paper Consent Uploaded By is automatically calculated
4. Once all the fields are entered mark this form as ""Complete""

If uploading a paper consent form instead of eConsent, navigate to Form ""Subject/Participant - Basic Information"" and update Consent Status to ""Consented""",,,,,,,,,,,,,
paper_consent_pdf_all_sites,bridge2ai_paper_consent_all_sites_english,,file,"Paper Consent PDF - All Sites",,,,,,,,y,,,,,
paper_consent_enrollment_institution,bridge2ai_paper_consent_all_sites_english,,dropdown,"Enrollment Institution","bch, BCH | mit, MIT | mt_sinai, Mt. Sinai | usf, USF | vumc, VUMC | wcm, WCM",,,,,,,y,,,,,
paper_consent_uploaded_by,bridge2ai_paper_consent_all_sites_english,,text,"Paper Consent Uploaded By",,,,,,,,y,,,,," @USERNAME
@READONLY"
page_1,bridge2ai_econsent_main_icf_usf_english,,descriptive,,,,,,,,,,,,,,
page2,bridge2ai_econsent_main_icf_usf_english,,descriptive,,,,,,,,,,,,,,
page3,bridge2ai_econsent_main_icf_usf_english,,descriptive,,,,,,,,,,,,,,
page_4,bridge2ai_econsent_main_icf_usf_english,,descriptive,,,,,,,,,,,,,,
page_5,bridge2ai_econsent_main_icf_usf_english,,descriptive,,,,,,,,,,,,,,
page6,bridge2ai_econsent_main_icf_usf_english,,descriptive,,,,,,,,,,,,,,
page7,bridge2ai_econsent_main_icf_usf_english,,descriptive,,,,,,,,,,,,,,
page8,bridge2ai_econsent_main_icf_usf_english,,descriptive,,,,,,,,,,,,,,
page_9,bridge2ai_econsent_main_icf_usf_english,,descriptive,,,,,,,,,,,,,,
consent_usf_question,bridge2ai_econsent_main_icf_usf_english,,radio,"<div class=""rich-text-field-label""><p>Consent to Take Part in Research and Authorization for the Collection, Use and Disclosure of Health Information:<br /><span style=""font-weight: normal;"">I freely give my consent to take part in this study and authorize that my health information as agreed above, be collected/disclosed in this study. I understand that by signing this form I am agreeing to take part in research. I have received a copy of this form to take with me. I understand that by filling out the best future contact below, I am consenting to be contacted in the future for further voice data collection if long term follow up is required as part of an eventual extension of this grant after the 4-year duration.</span><br /><span style=""font-weight: normal;"">Please select one of the three statements below that you consent to.</span></p></div>","1, I consent to having all data I submit shared only with the researchers of this study. | 2, I consent to having all data I submit shared with the researchers of this study and to having my audio recordings and de-identified written responses shared with other qualified researchers. | 3, I consent to having all data I submit shared with the researchers of this study and to having my audio recordings and de-identified written responses shared with other qualified researchers as well as publicly in the form of an open-source database.",,,,,,,y,LV,,,,
consent_usf_signature,bridge2ai_econsent_main_icf_usf_english,,file,"Signature of Person Taking Part in Study
[Authorization]


",,,signature,,,,,y,,,,," @READONLY-FORM"
consent_usf_name,bridge2ai_econsent_main_icf_usf_english,,text,"Printed Name of Person Taking Part in Study",,,,,,,,y,,,,," @READONLY-FORM"
consent_usf_date,bridge2ai_econsent_main_icf_usf_english,,text,Date,,,date_ymd,,,,,y,,,,," @READONLY-FORM"
researcher_statement2,bridge2ai_econsent_main_icf_usf_researcher_stateme,,descriptive,,,,,,,,,,,,,,
researcher_signature,bridge2ai_econsent_main_icf_usf_researcher_stateme,,file,"Signature of Person Obtaining Informed Consent",,,signature,,,,,y,,,,,
researcher_name,bridge2ai_econsent_main_icf_usf_researcher_stateme,,text,"Printed Name of Person Obtaining Informed Consent",,,,,,,,y,,,,,
researcher_date,bridge2ai_econsent_main_icf_usf_researcher_stateme,,text,Date,,,date_ymd,,,,,y,,,,,
combined_pdf_main_icf_usf,bridge2ai_econsent_combined_pdf_main_icf_usf,,file,"Combined PDF - Main ICF (USF)",,,,,,,,,,,,,
consent_wcm_p1,bridge2ai_econsent_addendum_wcm_english,,descriptive,,,,,,,,,,,,,,
consent_wcm_p2,bridge2ai_econsent_addendum_wcm_english,,descriptive,,,,,,,,,,,,,,
consent_wcm_p3,bridge2ai_econsent_addendum_wcm_english,,descriptive,,,,,,,,,,,,,,
consent_wcm_p4,bridge2ai_econsent_addendum_wcm_english,,descriptive,,,,,,,,,,,,,,
consent_wcm_statement,bridge2ai_econsent_addendum_wcm_english,,descriptive,"<div class=""rich-text-field-label""><p>RESEARCH PARTICIPANT: On the checklist below, please indicate if you would permit the researchers to store and/or share your voice, speech, and respiratory sound data, demographic data, previously completed imaging data, and survey and/or validated questionnaire answers for future research.<br /><span style=""font-weight: normal;"">We will use and share your information only as described in this form; however, people outside WCM who receive your information may not be covered by this promise or by the federal Privacy Rule. We try to make sure that everyone who needs to see your information keeps it confidential - but we cannot guarantee that your information will not be re-disclosed.</span><br /><span style=""font-weight: normal;"">By checking ""Yes"" and signing this consent form, you agree to give your data and Protected Health Information to Weill Cornell Medicine for research purposes.</span></p></div>",,,,,,,,,,,,," @READONLY-FORM"
consent_wcm_permission_1,bridge2ai_econsent_addendum_wcm_english,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><strong>YES, </strong>I give permission for my voice, speech, and respiratory sound data, demographic data, previously completed imaging data, and survey and/or validated questionnaire<i> </i>answers<strong><i> </i></strong>to be stored for future unspecified research by the researchers of this study. I understand that the data and/or samples will be stored for at least 50<strong><i> </i></strong>years and will be destroyed after the research is completed.</span></p></div>",,,,,,,,y,,,,,
consent_wcm_permission_2,bridge2ai_econsent_addendum_wcm_english,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><strong>YES</strong>, I give permission for my voice, speech, and respiratory sound data, demographic data, previously completed imaging data, and survey and/or validated questionnaire<i> </i>answers to be <strong>shared </strong>with other qualified <strong>researchers</strong> for future research.</span></p></div>",,,,,,,,y,,,,,
consent_wcm_statement_2,bridge2ai_econsent_addendum_wcm_english,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">By signing this consent form, you agree to give these voice, speech, and respiratory sound data, demographic data, previously completed imaging data, and survey and/or validated questionnaire answers to Weill Cornell Medicine for future research.</span><br /><span style=""font-weight: normal;"">If you withdraw consent at a future time, we will be unable to destroy your collected voice, speech, and respiratory sound data, demographic data, previously completed imaging data, and survey and/or validated questionnaire answers, as there will be no way to link the data to you.</span></p></div>",,,,,,,,,,,,," @READONLY-FORM"
consent_wcm_p5,bridge2ai_econsent_addendum_wcm_english,,descriptive,,,,,,,,,,,,,,
consent_wcm_signature,bridge2ai_econsent_addendum_wcm_english,,file,"Signature of Person Taking Part in Study 
[Authorization]",,,signature,,,,,y,,,,," @READONLY-FORM"
consent_wcm_name,bridge2ai_econsent_addendum_wcm_english,,text,"Printed Name of Person Taking Part in Study",,,,,,,,y,,,,," @READONLY-FORM"
consent_wcm_date,bridge2ai_econsent_addendum_wcm_english,,text,,,,date_ymd,,,,,y,,,,," @READONLY-FORM"
consent_wcm_p6,bridge2ai_econsent_addendum_wcm_researcher_stateme,,descriptive,,,,,,,,,,,,,,
consent_wcm_rs_signature,bridge2ai_econsent_addendum_wcm_researcher_stateme,,file,"Signature of Person Obtaining Informed Consent",,,signature,,,,,y,,,,,
consent_wcm_rs_name,bridge2ai_econsent_addendum_wcm_researcher_stateme,,text,"Printed Name of Person Obtaining Informed Consent",,,,,,,,y,,,,,
consent_wcm_rs_date,bridge2ai_econsent_addendum_wcm_researcher_stateme,,text,Date,,,date_ymd,,,,,y,,,,,
upload_addendums,bridge2ai_econsent_combined_pdf_addendum_wcm,,file,"Combined PDF-WCM English Addendum",,,,,,,,,,,,,
consent_wcm_p1_mit,bridge2ai_econsent_addendum_mit_english,,descriptive,,,,,,,,,,,,,,
consent_wcm_p2_mit,bridge2ai_econsent_addendum_mit_english,,descriptive,,,,,,,,,,,,,,
consent_wcm_p3_mit,bridge2ai_econsent_addendum_mit_english,,descriptive,,,,,,,,,,,,,,
consent_wcm_p4_mit,bridge2ai_econsent_addendum_mit_english,,descriptive,,,,,,,,,,,,,,
consent_wcm_statement_mit,bridge2ai_econsent_addendum_mit_english,,descriptive,"<div class=""rich-text-field-label""><p>RESEARCH PARTICIPANT: On the checklist below, please indicate if you would permit the researchers to store and/or share your voice, speech, and respiratory sound data, demographic data, previously completed imaging data, and survey and/or validated questionnaire answers for future research.<br /><span style=""font-weight: normal;"">We will use and share your information only as described in this form; however, people outside WCM who receive your information may not be covered by this promise or by the federal Privacy Rule. We try to make sure that everyone who needs to see your information keeps it confidential - but we cannot guarantee that your information will not be re-disclosed.</span><br /><span style=""font-weight: normal;"">By checking ""Yes"" and signing this consent form, you agree to give your data and Protected Health Information to Weill Cornell Medicine for research purposes.</span></p></div>",,,,,,,,,,,,," @READONLY-FORM"
consent_wcm_permission_1_mit,bridge2ai_econsent_addendum_mit_english,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><strong>YES, </strong>I give permission for my voice, speech, and respiratory sound data, demographic data, previously completed imaging data, and survey and/or validated questionnaire<i> </i>answers<strong><i> </i></strong>to be stored for future unspecified research by the researchers of this study. I understand that the data and/or samples will be stored for at least 50<strong><i> </i></strong>years and will be destroyed after the research is completed.</span></p></div>",,,,,,,,y,,,,,
consent_wcm_permission_2_mit,bridge2ai_econsent_addendum_mit_english,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><strong>YES</strong>, I give permission for my voice, speech, and respiratory sound data, demographic data, previously completed imaging data, and survey and/or validated questionnaire<i> </i>answers to be <strong>shared </strong>with other qualified <strong>researchers</strong> for future research.</span></p></div>",,,,,,,,y,,,,,
consent_wcm_statement_2_mit,bridge2ai_econsent_addendum_mit_english,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">By signing this consent form, you agree to give these voice, speech, and respiratory sound data, demographic data, previously completed imaging data, and survey and/or validated questionnaire answers to Weill Cornell Medicine for future research.</span><br /><span style=""font-weight: normal;"">If you withdraw consent at a future time, we will be unable to destroy your collected voice, speech, and respiratory sound data, demographic data, previously completed imaging data, and survey and/or validated questionnaire answers, as there will be no way to link the data to you.</span></p></div>",,,,,,,,,,,,," @READONLY-FORM"
consent_wcm_p5_mit,bridge2ai_econsent_addendum_mit_english,,descriptive,,,,,,,,,,,,,,
consent_wcm_signature_mit,bridge2ai_econsent_addendum_mit_english,,file,"Signature of Person Taking Part in Study 
[Authorization]",,,signature,,,,,y,,,,," @READONLY-FORM"
consent_wcm_name_mit,bridge2ai_econsent_addendum_mit_english,,text,"Printed Name of Person Taking Part in Study",,,,,,,,y,,,,," @READONLY-FORM"
consent_wcm_date_mit,bridge2ai_econsent_addendum_mit_english,,text,,,,date_ymd,,,,,y,,,,," @READONLY-FORM"
